X,Y,OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
-13154655.0321683,4025864.91171524,"1504","060375338062","5338062","533806",0.0906000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.1494000000,8495.3139922000,,,"-2147483648","60375338062",332.8530000000,"Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,"1504","5338062","533806",0.0906000000,BG 2,"04870","04870",Bell,Bell,City of Bell,2526574.1494000000,8495.3139922000,,,"-2147483648","60375338062","Block Group 2, Census Tract 5338.06, Los Angeles County, California","868","277","591",,Long Beach Fwy,0.3834708127,4.0000000000,736.7150000000
-13152931.8874791,4026982.00336773,"5765","060375323042","5323042","532304",2.9453000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.6529999971,50963.6996920000,,,"-2147483648","60375323042",706.6270000000,"Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,"5765","5323042","532304",2.9453000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,82111610.6529999971,50963.6996920000,,,"-2147483648","60375323042","Block Group 2, Census Tract 5323.04, Los Angeles County, California","597","190","407",,Santa Ana Fwy,1.1836300853,36.0000000000,364.7120000000
-13155790.5074205,4026560.45725748,"4511","060375337022","5337022","533702",0.0415000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.7069999999,4850.7537529000,,,"-2147483648","60375337022",1222.9140000000,"Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,"4511","5337022","533702",0.0415000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,1156707.7069999999,4850.7537529000,,,"-2147483648","60375337022","Block Group 2, Census Tract 5337.02, Los Angeles County, California","1135","398","737",,Long Beach Fwy,1.0774576818,14.0000000000,1159.1600000000
-13156163.6629147,4026612.18878775,"4516","060375337021","5337021","533702",0.0836000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.1348000001,6152.9912821000,,,"-2147483648","60375337021",2690.8480000000,"Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,"4516","5337021","533702",0.0836000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2331828.1348000001,6152.9912821000,,,"-2147483648","60375337021","Block Group 1, Census Tract 5337.02, Los Angeles County, California","2158","815","1343",,Long Beach Fwy,1.2469176055,12.0000000000,2163.6490000000
-13154761.3316192,4026496.56127702,"4747","060375337032","5337032","533703",0.2406000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.2559000002,13132.6645700000,,,"-2147483648","60375337032",368.7020000000,"Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,"4747","5337032","533703",0.2406000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,6706991.2559000002,13132.6645700000,,,"-2147483648","60375337032","Block Group 2, Census Tract 5337.03, Los Angeles County, California","2326","874","1452",,I- 710,0.1585135247,12.0000000000,2144.8690000000
-13155468.4756983,4026780.87232342,"4973","060375337031","5337031","533703",0.0889000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.2168000001,8667.9743097000,,,"-2147483648","60375337031",986.6950000000,"Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,"4973","5337031","533703",0.0889000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2477174.2168000001,8667.9743097000,,,"-2147483648","60375337031","Block Group 1, Census Tract 5337.03, Los Angeles County, California","1511","542","969",,Long Beach Fwy,0.6530077544,22.0000000000,1562.5720000000
-13158106.3701876,4026731.0862337,"4975","060375335012","5335012","533501",0.0901000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.3555000001,8734.4514664000,,,"-2147483648","60375335012",2829.6180000000,"Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,"4975","5335012","533501",0.0901000000,BG 2,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2511748.3555000001,8734.4514664000,,,"-2147483648","60375335012","Block Group 2, Census Tract 5335.01, Los Angeles County, California","1171","366","805",,Long Beach Fwy,2.4164114579,8.0000000000,1126.9900000000
-13156602.6163752,4026745.01802277,"6158","060375334032","5334032","533403",0.0790000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.3213000000,6782.2312897000,,,"-2147483648","60375334032",1080.0360000000,"Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,"6158","5334032","533403",0.0790000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2201589.3213000000,6782.2312897000,,,"-2147483648","60375334032","Block Group 2, Census Tract 5334.03, Los Angeles County, California","747","266","481",,Long Beach Fwy,1.4458307366,13.0000000000,754.0950000000
-13158321.4540325,4027674.60365663,"1503","060375333001","5333001","533300",0.0603000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.9502000001,8272.5456257000,,,"-2147483648","60375333001",2651.0250000000,"Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,"1503","5333001","533300",0.0603000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1681175.9502000001,8272.5456257000,,,"-2147483648","60375333001","Block Group 1, Census Tract 5333, Los Angeles County, California","1109","435","674",,Long Beach Fwy,2.3904640098,20.0000000000,1109.0000000000
-13159285.2750163,4029108.08876178,"5190","060375324001","5324001","532400",4.9960000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.5000000000,68982.7670360000,,,"-2147483648","60375324001",237.9850000000,"Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,"5190","5324001","532400",4.9960000000,BG 1,"82422","82422",Vernon,Vernon,City of Vernon,139279799.5000000000,68982.7670360000,,,"-2147483648","60375324001","Block Group 1, Census Tract 5324, Los Angeles County, California","92","21","71",,Santa Ana Fwy,2.5867928348,56.0000000000,61.3320000000
-13155966.8860811,4027574.70173775,"3168","060375337011","5337011","533701",0.0528000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.4238000000,5470.5744709000,,,"-2147483648","60375337011",683.7430000000,"Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,"3168","5337011","533701",0.0528000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.4238000000,5470.5744709000,,,"-2147483648","60375337011","Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,Long Beach Fwy,0.5590699637,12.0000000000,1239.4440000000
-13158160.2812664,4027966.37412895,"4745","060375333002","5333002","533300",0.0735000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.2041000000,6137.4913885000,,,"-2147483648","60375333002",4650.0690000000,"Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,"4745","5333002","533300",0.0735000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.2041000000,6137.4913885000,,,"-2147483648","60375333002","Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,I- 710,2.2783289295,8.0000000000,1991.8160000000
-13156492.6876611,4027517.08202736,"4746","060375334031","5334031","533403",0.1038000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2892715.2196999998,8344.0829076000,,,"-2147483648","60375334031",1783.5960000000,"Block Group 1, Census Tract 5334.03, Los Angeles County, California","1789","576","1213",,"4746","5334031","533403",0.1038000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2892715.2196999998,8344.0829076000,,,"-2147483648","60375334031","Block Group 1, Census Tract 5334.03, Los Angeles County, California","1789","576","1213",,Long Beach Fwy,0.9969792899,12.0000000000,1778.3470000000
-13157285.8179845,4028003.16438587,"4749","060375334011","5334011","533401",0.0999000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2783952.3056999999,9351.6633097000,,,"-2147483648","60375334011",3923.8020000000,"Block Group 1, Census Tract 5334.01, Los Angeles County, California","2414","817","1597",,"4749","5334011","533401",0.0999000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2783952.3056999999,9351.6633097000,,,"-2147483648","60375334011","Block Group 1, Census Tract 5334.01, Los Angeles County, California","2414","817","1597",,I- 710,1.6254358577,22.0000000000,2495.1300000000
-13156651.5478219,4027897.1749603,"5970","060375334012","5334012","533401",0.0355000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,989955.9687500000,5664.6776434000,,,"-2147483648","60375334012",901.2970000000,"Block Group 2, Census Tract 5334.01, Los Angeles County, California","824","275","549",,"5970","5334012","533401",0.0355000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,989955.9687500000,5664.6776434000,,,"-2147483648","60375334012","Block Group 2, Census Tract 5334.01, Los Angeles County, California","824","275","549",,Long Beach Fwy,1.0938068092,10.0000000000,833.5610000000
-13157673.5723808,4027472.89600824,"4517","060375334021","5334021","533402",0.1119000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,3119297.1113000000,7115.7076253000,,,"-2147483648","60375334021",4462.8040000000,"Block Group 1, Census Tract 5334.02, Los Angeles County, California","2269","795","1474",,"4517","5334021","533402",0.1119000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,3119297.1113000000,7115.7076253000,,,"-2147483648","60375334021","Block Group 1, Census Tract 5334.02, Los Angeles County, California","2269","795","1474",,I- 710,1.9668592530,12.0000000000,2247.1690000000
-13157934.317522,4026996.91412449,"4976","060375335011","5335011","533501",0.0729000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2033320.2197000000,5844.4124994000,,,"-2147483648","60375335011",3724.7100000000,"Block Group 1, Census Tract 5335.01, Los Angeles County, California","1628","575","1053",,"4976","5335011","533501",0.0729000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2033320.2197000000,5844.4124994000,,,"-2147483648","60375335011","Block Group 1, Census Tract 5335.01, Los Angeles County, California","1628","575","1053",,Long Beach Fwy,2.2879055643,12.0000000000,1638.9890000000
-13156958.7174612,4026865.19140909,"4979","060375335031","5335031","533503",0.0401000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1117705.5137000000,4386.3040909000,,,"-2147483648","60375335031",2054.6420000000,"Block Group 1, Census Tract 5335.03, Los Angeles County, California","1278","447","831",,"4979","5335031","533503",0.0401000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1117705.5137000000,4386.3040909000,,,"-2147483648","60375335031","Block Group 1, Census Tract 5335.03, Los Angeles County, California","1278","447","831",,I- 710,1.6077009142,9.0000000000,1285.0380000000
-13157066.5866556,4027399.34628321,"5782","060375334022","5334022","533402",0.0756000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2108012.2881000000,5824.3189390000,,,"-2147483648","60375334022",2067.8860000000,"Block Group 2, Census Tract 5334.02, Los Angeles County, California","1375","433","942",,"5782","5334022","533402",0.0756000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2108012.2881000000,5824.3189390000,,,"-2147483648","60375334022","Block Group 2, Census Tract 5334.02, Los Angeles County, California","1375","433","942",,I- 710,1.5039173375,12.0000000000,1382.8910000000
-13155971.5116003,4027165.41873411,"5785","060375337012","5337012","533701",0.1019000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2839855.8651999999,6856.9073599000,,,"-2147483648","60375337012",1828.1900000000,"Block Group 2, Census Tract 5337.01, Los Angeles County, California","2267","876","1391",,"5785","5337012","533701",0.1019000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2839855.8651999999,6856.9073599000,,,"-2147483648","60375337012","Block Group 2, Census Tract 5337.01, Los Angeles County, California","2267","876","1391",,Long Beach Fwy,0.8064357572,24.0000000000,2351.6640000000
-13157620.1403775,4027885.62070746,"6135","060375334013","5334013","533401",0.0482000000,BG 3,"46492","46492",Maywood,Maywood,City of Maywood,1342375.3467000001,5314.9479891000,,,"-2147483648","60375334013",2410.1620000000,"Block Group 3, Census Tract 5334.01, Los Angeles County, California","1298","439","859",,"6135","5334013","533401",0.0482000000,BG 3,"46492","46492",Maywood,Maywood,City of Maywood,1342375.3467000001,5314.9479891000,,,"-2147483648","60375334013","Block Group 3, Census Tract 5334.01, Los Angeles County, California","1298","439","859",,Long Beach Fwy,1.8568273218,14.0000000000,1324.5540000000
-13157375.0621299,4026927.87098844,"6156","060375335021","5335021","533502",0.0556000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1549945.2549000001,4983.4083093000,,,"-2147483648","60375335021",2492.0960000000,"Block Group 1, Census Tract 5335.02, Los Angeles County, California","1315","458","857",,"6156","5335021","533502",0.0556000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1549945.2549000001,4983.4083093000,,,"-2147483648","60375335021","Block Group 1, Census Tract 5335.02, Los Angeles County, California","1315","458","857",,I- 710,1.8951301380,6.0000000000,1270.6610000000
-13155693.2945258,4030091.51325518,"5184","060375323022","5323022","532302",0.8274000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,23066520.0439999998,28740.4761920000,,,"-2147483648","60375323022",338.3960000000,"Block Group 2, Census Tract 5323.02, Los Angeles County, California","1074","349","725",,"5184","5323022","532302",0.8274000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,23066520.0439999998,28740.4761920000,,,"-2147483648","60375323022","Block Group 2, Census Tract 5323.02, Los Angeles County, California","1074","349","725",,I- 710,0.3150800275,28.0000000000,1000.8650000000
-13155590.4521715,4031179.46657922,"2499","060375313021","5313021","531302",0.0481000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1340533.0508000001,4802.4291761000,,,"-2147483648","60375313021",114.7250000000,"Block Group 1, Census Tract 5313.02, Los Angeles County, California","890","315","575",,"2499","5313021","531302",0.0481000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1340533.0508000001,4802.4291761000,,,"-2147483648","60375313021","Block Group 1, Census Tract 5313.02, Los Angeles County, California","890","315","575",,I- 5,0.1289048429,10.0000000000,895.9890000000
-13154728.7053301,4031147.80617125,"2500","060375315021","5315021","531502",0.0548000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1527478.0654000000,5184.7614850000,,,"-2147483648","60375315021",135.5840000000,"Block Group 1, Census Tract 5315.02, Los Angeles County, California","884","303","581",,"2500","5315021","531502",0.0548000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1527478.0654000000,5184.7614850000,,,"-2147483648","60375315021","Block Group 1, Census Tract 5315.02, Los Angeles County, California","884","303","581",,I- 5,0.1533760882,20.0000000000,884.0000000000
-13151855.0735763,4030837.96866204,"2505","060375319011","5319011","531901",0.0703000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1960207.4043000001,10120.2890860000,,,"-2147483648","60375319011",2051.0170000000,"Block Group 1, Census Tract 5319.01, Los Angeles County, California","1534","552","982",,"2505","5319011","531901",0.0703000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1960207.4043000001,10120.2890860000,,,"-2147483648","60375319011","Block Group 1, Census Tract 5319.01, Los Angeles County, California","1534","552","982",,Santa Ana Fwy,1.3370382334,24.0000000000,1534.0000000000
-13151579.8107582,4030174.32296638,"3117","060375319014","5319014","531901",0.0619000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1724290.3428000000,7167.5546381000,,,"-2147483648","60375319014",1246.9680000000,"Block Group 4, Census Tract 5319.01, Los Angeles County, California","1060","317","743",,"3117","5319014","531901",0.0619000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1724290.3428000000,7167.5546381000,,,"-2147483648","60375319014","Block Group 4, Census Tract 5319.01, Los Angeles County, California","1060","317","743",,Santa Ana Fwy,1.1763850275,20.0000000000,1060.0000000000
-13150485.0520538,4030043.16639512,"3340","060375319023","5319023","531902",0.0613000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1707946.6503999999,7592.1857947000,,,"-2147483648","60375319023",906.9790000000,"Block Group 3, Census Tract 5319.02, Los Angeles County, California","871","251","620",,"3340","5319023","531902",0.0613000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1707946.6503999999,7592.1857947000,,,"-2147483648","60375319023","Block Group 3, Census Tract 5319.02, Los Angeles County, California","871","251","620",,State Rte 72,1.0413081912,22.0000000000,871.0000000000
-13153346.2386382,4030625.89165303,"3872","060375317022","5317022","531702",0.0525000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1464569.3770000001,5707.2320105000,,,"-2147483648","60375317022",240.3340000000,"Block Group 2, Census Tract 5317.02, Los Angeles County, California","674","238","436",,"3872","5317022","531702",0.0525000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1464569.3770000001,5707.2320105000,,,"-2147483648","60375317022","Block Group 2, Census Tract 5317.02, Los Angeles County, California","674","238","436",,I- 5,0.3565783498,26.0000000000,674.0000000000
-13153094.5421296,4031236.05049773,"3875","060375317021","5317021","531702",0.0536000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1495616.9297000000,5033.7578538000,,,"-2147483648","60375317021",605.9750000000,"Block Group 1, Census Tract 5317.02, Los Angeles County, California","688","213","475",,"3875","5317021","531702",0.0536000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1495616.9297000000,5033.7578538000,,,"-2147483648","60375317021","Block Group 1, Census Tract 5317.02, Los Angeles County, California","688","213","475",,I- 5,0.8807779959,16.0000000000,704.7730000000
-13153851.3536341,4030763.28758225,"4048","060375317023","5317023","531702",0.0827000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2305141.2440999998,7246.3258043000,,,"-2147483648","60375317023",347.0900000000,"Block Group 3, Census Tract 5317.02, Los Angeles County, California","1598","551","1047",,"4048","5317023","531702",0.0827000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2305141.2440999998,7246.3258043000,,,"-2147483648","60375317023","Block Group 3, Census Tract 5317.02, Los Angeles County, California","1598","551","1047",,Santa Ana Fwy,0.2172030651,17.0000000000,1635.1490000000
-13155419.0741281,4031676.343251,"4060","060375313011","5313011","531301",0.1407000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,3923442.9805000001,8428.2704712000,,,"-2147483648","60375313011",273.1200000000,"Block Group 1, Census Tract 5313.01, Los Angeles County, California","1345","490","855",,"4060","5313011","531301",0.1407000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,3923442.9805000001,8428.2704712000,,,"-2147483648","60375313011","Block Group 1, Census Tract 5313.01, Los Angeles County, California","1345","490","855",,Santa Ana Fwy,0.2030632930,20.0000000000,1376.5070000000
-13155575.6839462,4030697.23615571,"4064","060375313023","5313023","531302",0.1053000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2935104.9413999999,6848.3038767000,,,"-2147483648","60375313023",963.7850000000,"Block Group 3, Census Tract 5313.02, Los Angeles County, California","2109","782","1327",,"4064","5313023","531302",0.1053000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2935104.9413999999,6848.3038767000,,,"-2147483648","60375313023","Block Group 3, Census Tract 5313.02, Los Angeles County, California","2109","782","1327",,Santa Ana Fwy,0.4569868811,11.0000000000,2078.2040000000
-13154285.1528875,4030981.45970857,"4691","060375316022","5316022","531602",0.0481000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1341613.1719000000,4700.9872179000,,,"-2147483648","60375316022",202.1550000000,"Block Group 2, Census Tract 5316.02, Los Angeles County, California","994","338","656",,"4691","5316022","531602",0.0481000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1341613.1719000000,4700.9872179000,,,"-2147483648","60375316022","Block Group 2, Census Tract 5316.02, Los Angeles County, California","994","338","656",,I- 5,0.2033748902,6.0000000000,968.8150000000
-13149505.6383642,4029406.19896454,"5192","060375320012","5320012","532001",0.4088000000,BG 2,"48816","48816",Montebello,Montebello,City of Montebello,11397695.5219999999,14721.3862640000,,,"-2147483648","60375320012",1438.2510000000,"Block Group 2, Census Tract 5320.01, Los Angeles County, California","1422","416","1006",,"5192","5320012","532001",0.4088000000,BG 2,"48816","48816",Montebello,Montebello,City of Montebello,11397695.5219999999,14721.3862640000,,,"-2147483648","60375320012","Block Group 2, Census Tract 5320.01, Los Angeles County, California","1422","416","1006",,W Whittier Blvd,1.0114282210,22.0000000000,1385.0640000000
-13151420.9968275,4029135.65883151,"5713","060375323033","5323033","532303",2.0206000000,BG 3,"14974","14974",Commerce,Commerce,City of Commerce,56331460.2800000012,39531.3175730000,,,"-2147483648","60375323033",544.2750000000,"Block Group 3, Census Tract 5323.03, Los Angeles County, California","826","275","551",,"5713","5323033","532303",2.0206000000,BG 3,"14974","14974",Commerce,Commerce,City of Commerce,56331460.2800000012,39531.3175730000,,,"-2147483648","60375323033","Block Group 3, Census Tract 5323.03, Los Angeles County, California","826","275","551",,I- 5,0.6589280015,51.0000000000,792.2770000000
-13151471.9638947,4032834.46156613,"2372","060375302021","5302021","530202",0.1243000000,BG 1,"48816","48816",Montebello,Montebello,City of Montebello,3464689.9950999999,9229.6583337000,,,"-2147483648","60375302021",457.2060000000,"Block Group 1, Census Tract 5302.02, Los Angeles County, California","1091","285","806",,"2372","5302021","530202",0.1243000000,BG 1,"48816","48816",Montebello,Montebello,City of Montebello,3464689.9950999999,9229.6583337000,,,"-2147483648","60375302021","Block Group 1, Census Tract 5302.02, Los Angeles County, California","1091","285","806",,Pomona Fwy,0.4190707560,10.0000000000,1051.5500000000
-13152775.4407916,4033953.72173186,"739","060375304002","5304002","530400",0.4629000000,BG 2,"48914","48914",Monterey Park,Monterey Park,City of Monterey Park,12904703.2469999995,18728.6552190000,,,"-2147483648","60375304002",463.3600000000,"Block Group 2, Census Tract 5304, Los Angeles County, California","1757","450","1307",,"739","5304002","530400",0.4629000000,BG 2,"48914","48914",Monterey Park,Monterey Park,City of Monterey Park,12904703.2469999995,18728.6552190000,,,"-2147483648","60375304002","Block Group 2, Census Tract 5304, Los Angeles County, California","1757","450","1307",,State Rte 60,0.2637221393,22.0000000000,1686.1630000000
